time,target
"86,4","0,51389414"
"86,6","0,51022202"
"86,8","0,51259512"
87,"0,51395375"
"87,2","0,51650065"
"87,4","0,5134604"
"87,6","0,51208043"
"87,8","0,51063818"
88,"0,51295894"
"88,2","0,51245004"
"88,4","0,51123387"
"88,6","0,51105297"
"88,8","0,50922573"
89,"0,50653106"
"89,2","0,51114595"
"89,4","0,50714743"
"89,6","0,51104915"
"89,8","0,51251733"
90,"0,50990009"
"90,2","0,50783312"
"90,4","0,50806224"
"90,6","0,50499958"
"90,8","0,50693065"
91,"0,50596011"
"91,2","0,50728136"
"91,4","0,50617516"
"91,6","0,50475425"
"91,8","0,50763601"
92,"0,5054425"
"92,2","0,50570613"
"92,4","0,50581884"
"92,6","0,50770795"
"92,8","0,50820148"
93,"0,50446719"
"93,2","0,50425375"
"93,4","0,50322658"
"93,6","0,50622052"
"93,8","0,50564778"
94,"0,5088082"
"94,2","0,50489485"
"94,4","0,50175899"
"94,6","0,50395"
"94,8","0,50801498"
95,"0,50631803"
"95,2","0,50165182"
"95,4","0,50474322"
"95,6","0,50460261"
"95,8","0,50554192"
96,"0,50082129"
"96,2","0,50360763"
"96,4","0,50454664"
"96,6","0,50229245"
"96,8","0,50253069"
97,"0,50411111"
"97,2","0,50300181"
"97,4","0,49884108"
"97,6","0,49832156"
"97,8","0,50023782"
98,"0,5001474"
"98,2","0,50130177"
"98,4","0,50183409"
"98,6","0,50383371"
"98,8","0,50314182"
99,"0,49788153"
"99,2","0,50135344"
"99,4","0,49923852"
"99,6","0,49829015"
"99,8","0,49796054"
100,"0,4990828"
"100,2","0,49763992"
"100,4","0,50266963"
"100,6","0,50013685"
"100,8","0,49998236"
101,"0,49623889"
"101,2","0,4980416"
"101,4","0,49729717"
"101,6","0,49545148"
"101,8","0,49930134"
102,"0,49646547"
"102,2","0,49913728"
"102,4","0,49342576"
"102,6","0,49761021"
"102,8","0,49547848"
103,"0,49265128"
"103,2","0,49351144"
"103,4","0,49310648"
"103,6","0,49238077"
"103,8","0,49212989"
104,"0,49650443"
"104,2","0,49714297"
"104,4","0,49287453"
"104,6","0,49324858"
"104,8","0,49336496"
105,"0,49403751"
"105,2","0,49391857"
"105,4","0,49126288"
"105,6","0,49119321"
"105,8","0,48932827"
106,"0,49373651"
"106,2","0,49178043"
"106,4","0,49295071"
"106,6","0,49322227"
"106,8","0,49378935"
107,"0,48848423"
"107,2","0,49017975"
"107,4","0,49002337"
"107,6","0,48699036"
"107,8","0,49305943"
108,"0,49141234"
"108,2","0,49107054"
"108,4","0,49181649"
"108,6","0,48972154"
"108,8","0,48806393"
109,"0,48458469"
"109,2","0,49289578"
"109,4","0,48712966"
"109,6","0,4875955"
"109,8","0,4882102"
110,"0,49102935"
"110,2","0,49076915"
"110,4","0,48483774"
"110,6","0,48744732"
"110,8","0,48823735"
111,"0,48708659"
"111,2","0,4900496"
"111,4","0,48526102"
"111,6","0,4896974"
"111,8","0,48667812"
112,"0,48333278"
"112,2","0,48728698"
"112,4","0,48408732"
"112,6","0,48792204"
"112,8","0,48704705"
113,"0,48625287"
"113,2","0,48726642"
"113,4","0,48580152"
"113,6","0,48581338"
"113,8","0,48448697"
114,"0,48329183"
"114,2","0,48357162"
"114,4","0,48458993"
"114,6","0,48356879"
"114,8","0,48532364"
115,"0,47851449"
"115,2","0,48069715"
"115,4","0,47800124"
"115,6","0,48096555"
"115,8","0,48564357"
116,"0,48217717"
"116,2","0,48277637"
"116,4","0,47747833"
"116,6","0,48302171"
"116,8","0,47702229"
117,"0,47965011"
"117,2","0,48253265"
"117,4","0,48304555"
"117,6","0,47901738"
"117,8","0,4766649"
118,"0,47788477"
"118,2","0,48155442"
"118,4","0,48103335"
"118,6","0,47939602"
"118,8","0,47801158"
119,"0,48010099"
"119,2","0,47947973"
"119,4","0,4794918"
"119,6","0,48045987"
"119,8","0,47779596"
120,"0,47694993"
"120,2","0,47691837"
"120,4","0,47838458"
"120,6","0,47776103"
"120,8","0,47617549"
121,"0,47691634"
"121,2","0,477492"
"121,4","0,47579798"
"121,6","0,4752923"
"121,8","0,47559014"
122,"0,47854197"
"122,2","0,47361922"
"122,4","0,47846127"
"122,6","0,47598377"
"122,8","0,47621289"
123,"0,47379234"
"123,2","0,47382063"
"123,4","0,46976674"
"123,6","0,47404292"
"123,8","0,47490093"
124,"0,46933648"
"124,2","0,4732109"
"124,4","0,46964493"
"124,6","0,47264805"
"124,8","0,47163209"
125,"0,4706915"
"125,2","0,4745428"
"125,4","0,47056487"
"125,6","0,47402081"
"125,8","0,47095358"
126,"0,46986836"
"126,2","0,47155207"
"126,4","0,46769011"
"126,6","0,46885118"
"126,8","0,47240287"
127,"0,46876234"
"127,2","0,47074783"
"127,4","0,47230744"
"127,6","0,4674505"
"127,8","0,46858841"
128,"0,46917021"
"128,2","0,47083047"
"128,4","0,46336418"
"128,6","0,46899298"
"128,8","0,46666867"
129,"0,46967545"
"129,2","0,46652815"
"129,4","0,46457651"
"129,6","0,46559325"
"129,8","0,46781734"
130,"0,46678159"
"130,2","0,4691582"
"130,4","0,46507257"
"130,6","0,46646452"
"130,8","0,46336642"
131,"0,46484029"
"131,2","0,46597105"
"131,4","0,46379578"
"131,6","0,46350807"
"131,8","0,46630469"
132,"0,46415135"
"132,2","0,46351159"
"132,4","0,46357355"
"132,6","0,46514568"
"132,8","0,46540761"
133,"0,46616647"
"133,2","0,45975831"
"133,4","0,464849"
"133,6","0,46536282"
"133,8","0,46263024"
134,"0,46006107"
"134,2","0,46088794"
"134,4","0,45977712"
"134,6","0,46144316"
"134,8","0,45805186"
135,"0,45910111"
"135,2","0,4625212"
"135,4","0,46301249"
"135,6","0,46333063"
"135,8","0,46320862"
136,"0,46148315"
"136,2","0,46262944"
"136,4","0,45782551"
"136,6","0,4602623"
"136,8","0,4584209"
137,"0,4600344"
"137,2","0,45965931"
"137,4","0,45554164"
"137,6","0,4611128"
"137,8","0,45856312"
138,"0,46118683"
"138,2","0,4581418"
"138,4","0,45418429"
"138,6","0,46050271"
"138,8","0,45868167"
139,"0,4592737"
"139,2","0,4567779"
"139,4","0,4575049"
"139,6","0,45805529"
"139,8","0,45451653"
140,"0,45614767"
"140,2","0,45873144"
"140,4","0,45306003"
"140,6","0,45621769"
"140,8","0,45437551"
141,"0,45643038"
"141,2","0,4545576"
"141,4","0,45547768"
"141,6","0,45648009"
"141,8","0,453327"
142,"0,45145154"
"142,2","0,45414373"
"142,4","0,45482782"
"142,6","0,45578095"
"142,8","0,45164716"
143,"0,45322752"
"143,2","0,45482308"
"143,4","0,4542633"
"143,6","0,45255244"
"143,8","0,4544287"
144,"0,44999254"
"144,2","0,45474854"
"144,4","0,45253015"
"144,6","0,45835146"
"144,8","0,45018333"
145,"0,45417693"
"145,2","0,45033264"
"145,4","0,45007417"
"145,6","0,44976491"
"145,8","0,45014921"
146,"0,44941959"
"146,2","0,44778502"
"146,4","0,45132616"
"146,6","0,44725984"
"146,8","0,44752684"
147,"0,44974861"
"147,2","0,44881934"
"147,4","0,45066845"
"147,6","0,45068276"
"147,8","0,4461053"
148,"0,44225749"
"148,2","0,44777861"
"148,4","0,44703943"
"148,6","0,44622073"
"148,8","0,44630235"
149,"0,44708514"
"149,2","0,44631317"
"149,4","0,44563517"
"149,6","0,44681913"
"149,8","0,44600907"
150,"0,44445363"
"150,2","0,4460232"
"150,4","0,44235215"
"150,6","0,44140923"
"150,8","0,44390041"
151,"0,44199237"
"151,2","0,44192946"
"151,4","0,44001529"
"151,6","0,44446447"
"151,8","0,44228914"
152,"0,4404726"
"152,2","0,44178528"
"152,4","0,43857136"
"152,6","0,44236687"
"152,8","0,44333526"
153,"0,44295713"
"153,2","0,44261476"
"153,4","0,44237515"
"153,6","0,44422191"
"153,8","0,44325307"
154,"0,44050762"
"154,2","0,43864381"
"154,4","0,43837586"
"154,6","0,44067577"
"154,8","0,4385044"
155,"0,44071099"
"155,2","0,43848947"
"155,4","0,43988988"
"155,6","0,43942153"
"155,8","0,43831217"
156,"0,43690452"
"156,2","0,4373734"
"156,4","0,43649688"
"156,6","0,4349094"
